City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
332,Eureka,US,40.8021,-124.1637,62.74,69,39,5.99,scattered clouds
333,Kahului,US,20.8947,-156.47,82.42,71,75,21.85,broken clouds
334,Arani,IN,12.6667,79.2833,79.34,81,81,3.85,broken clouds
335,Chernyshevskiy,RU,63.0128,112.4714,8.01,98,93,4.07,overcast clouds
336,Melilla,ES,35.2937,-2.9383,59.38,72,0,0.0,clear sky
337,Khasan,RU,42.4308,130.6434,45.64,49,3,3.83,clear sky
338,Xining,CN,36.6167,101.7667,46.6,61,82,2.06,broken clouds
339,Chara,RU,56.9064,118.2631,17.38,88,99,0.78,overcast clouds
340,Awjilah,LY,29.1081,21.2869,79.97,9,93,13.2,overcast clouds
341,Batamshinskiy,KZ,50.5594,58.2747,42.33,73,81,15.97,broken clouds
342,Chicama,PE,-7.8447,-79.1469,63.14,73,81,8.55,broken clouds
343,Tiksi,RU,71.6872,128.8694,12.09,96,100,7.4,overcast clouds
344,Tilichiki,RU,60.4667,166.1,23.49,86,100,4.14,overcast clouds
345,Eatonton,US,33.3268,-83.3885,82.56,47,5,5.93,clear sky
346,Labytnangi,RU,66.6572,66.4183,-4.76,95,100,3.27,overcast clouds
347,Mapiripan,CO,2.8892,-72.1256,76.46,86,100,2.42,overcast clouds
348,Bonavista,CA,48.6499,-53.1147,36.75,74,100,15.52,overcast clouds
349,Tall Kayf,TR,37.0833,41.0667,64.31,31,0,8.52,clear sky
350,Kununurra,AU,-15.7667,128.7333,64.38,82,10,0.0,clear sky
351,Clyde River,CA,70.4692,-68.5914,1.63,71,0,4.61,clear sky
352,Sehithwa,BW,-20.4667,22.7167,70.39,51,99,4.18,overcast clouds
353,Mae Ramat,TH,16.984,98.5166,73.49,81,9,0.31,clear sky
354,Oktyabrskoye,RU,43.0645,44.7417,46.54,93,100,6.71,overcast clouds
355,Bouza,NE,14.4229,6.0428,90.82,15,79,3.2,broken clouds
356,Darnah,LY,32.767,22.6367,70.83,46,100,16.62,overcast clouds
357,Kloulklubed,PW,7.0419,134.2556,75.7,79,94,8.7,overcast clouds
358,South Lake Tahoe,US,38.9332,-119.9844,46.35,59,75,3.44,broken clouds
359,Karpogory,RU,64.0019,44.4451,34.54,99,100,6.02,snow
360,Yulara,AU,-25.2406,130.9889,57.58,55,100,10.74,overcast clouds
361,Puerto Narino,CO,-3.7703,-70.3831,77.11,95,78,3.13,broken clouds
362,Vuktyl,RU,63.8567,57.3094,22.26,84,89,3.85,overcast clouds
363,Stornoway,GB,58.2093,-6.3865,46.36,93,75,19.57,broken clouds
364,Pangnirtung,CA,66.1451,-65.7125,10.4,79,20,3.44,few clouds
365,Kimry,RU,56.8667,37.35,45.9,90,100,2.98,overcast clouds
366,Fairmont,US,39.4851,-80.1426,73.42,36,87,1.01,overcast clouds
367,San-Pedro,CI,4.7485,-6.6363,79.16,85,87,7.0,overcast clouds
368,Baijiantan,CN,45.6333,85.1833,58.57,45,96,10.76,overcast clouds
369,Juegang,CN,32.3174,121.1855,61.7,91,100,2.89,light rain
370,Vestmanna,FO,62.1564,-7.1664,40.12,75,72,8.05,broken clouds
371,Dhidhdhoo,MV,6.8833,73.1,83.84,70,100,0.69,overcast clouds
372,Sadao,TH,6.6388,100.4234,78.62,97,74,3.04,broken clouds
373,Leh,IN,34.1667,77.5833,36.41,66,55,4.12,broken clouds
374,Taltal,CL,-25.4,-70.4833,64.99,81,27,5.39,scattered clouds
375,Wewak,PG,-3.5534,143.6268,76.05,93,100,4.61,overcast clouds
376,Tevaitoa,PF,-16.7833,-151.5,78.96,80,88,14.36,moderate rain
377,Beloha,MG,-25.1667,45.05,74.46,75,97,10.96,overcast clouds
378,Bubaque,GW,11.2833,-15.8333,77.22,80,89,15.17,overcast clouds
379,Nacala,MZ,-14.5428,40.6728,76.84,94,100,3.33,moderate rain
380,Lossiemouth,GB,57.7214,-3.2834,48.11,89,75,6.91,haze
381,Lasa,IT,46.6166,10.7002,50.88,96,97,2.21,overcast clouds
382,Evinayong,GQ,1.4368,10.5512,69.08,99,65,1.32,light rain
